18252	1304089498.019349	-18.593407 6.274725 2.049009 61.351648 44.281914 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.330321 2.788863 16.18572 2.597647
18253	1304089498.029435	-18.593407 6.274725 2.049009 61.351648 44.281914 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.314929 16.18572 2.597647
18254	1304089498.039494	-18.593407 6.274725 1.961097 61.351648 44.281914 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.314929 16.18572 2.597647
18255	1304089498.049558	-18.593407 6.450549 1.873185 61.351648 44.281914 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.314929 16.18572 2.597647
18256	1304089498.059617	-18.593407 6.362637 1.961097 61.351648 44.281914 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.314929 16.18572 2.597647
18257	1304089498.069677	-18.593407 6.450549 1.873185 61.351648 44.281914 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.18572 2.597647
18258	1304089498.079737	-18.593407 6.450549 1.873185 61.351648 44.281914 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.314929 16.18572 2.597647
18259	1304089498.089804	-18.593407 6.538462 1.785273 61.351648 44.281914 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18260	1304089498.099865	-18.593407 6.626374 1.69736 61.351648 44.280499 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.411163 11.731928 2.788863 16.574825 2.597647
18261	1304089498.109925	-18.593407 6.626374 1.69736 61.351648 44.276253 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18262	1304089498.119975	-18.593407 6.714286 1.609448 61.351648 44.249367 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.574825 2.597647
18263	1304089498.130248	-18.593407 6.802198 1.521536 61.351648 44.199839 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.314929 16.574825 2.597647
18264	1304089498.140308	-18.593407 6.802198 1.521536 61.351648 44.13899 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18265	1304089498.150368	-18.593407 6.89011 1.433624 61.351648 44.06399 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.574825 2.597647
18266	1304089498.160428	-18.593407 6.978022 1.345712 61.351648 43.98333 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18267	1304089498.170503	-18.593407 6.978022 1.345712 61.351648 43.898425 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.18572 2.597647
18268	1304089498.180572	-18.593407 7.065934 1.2578 61.351648 43.809274 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.314929 16.574825 2.597647
18269	1304089498.190632	-18.593407 7.065934 1.2578 61.351648 43.721539 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.314929 16.18572 2.597647
18270	1304089498.200692	-18.593407 7.065934 1.2578 61.351648 43.640879 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18271	1304089498.210750	-18.593407 7.065934 1.2578 61.351648 43.561634 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18272	1304089498.220822	-18.593407 7.153846 1.169888 61.351648 43.489465 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.314929 16.574825 2.597647
18273	1304089498.230880	-18.593407 7.241758 1.081976 61.351648 43.420125 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18274	1304089498.240939	-18.593407 7.241758 1.081976 61.351648 43.353616 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18275	1304089498.250999	-18.593407 7.241758 1.081976 61.351648 43.284277 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18276	1304089498.261070	-18.593407 7.241758 1.081976 61.351648 43.213523 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18277	1304089498.271157	-18.593407 7.241758 1.081976 61.351648 43.131447 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.18572 2.597647
18278	1304089498.282192	-18.593407 7.241758 1.081976 61.351648 43.028146 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.330321 2.788863 16.18572 2.597647
18279	1304089498.292505	-18.593407 7.241758 1.081976 61.351648 42.912109 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.574825 2.597647
18280	1304089498.302588	-18.593407 7.241758 1.081976 61.351648 42.787581 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.330321 2.788863 16.574825 2.597647
18281	1304089498.312727	-18.593407 7.241758 1.081976 61.351648 42.68145 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18282	1304089498.322790	-18.593407 7.241758 1.081976 61.351648 42.60079 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.330321 2.788863 16.574825 2.597647
18283	1304089498.332862	-18.593407 7.241758 0.994064 61.351648 42.562582 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.314929 16.574825 2.597647
18284	1304089498.342924	-18.593407 7.241758 1.081976 61.43956 42.559752 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.18572 2.597647
18285	1304089498.352986	-18.593407 7.241758 1.081976 61.43956 42.559752 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18286	1304089498.363047	-18.593407 7.241758 1.081976 61.351648 42.558337 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18287	1304089498.373185	-18.593407 7.241758 1.081976 61.43956 42.552677 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.574825 2.597647
18288	1304089498.383244	-18.593407 7.241758 1.081976 61.43956 42.547016 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18289	1304089498.393305	-18.593407 7.153846 1.169888 61.351648 42.542771 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.411163 11.731928 2.788863 16.574825 2.597647
18290	1304089498.403368	-18.593407 7.241758 1.081976 61.351648 42.541356 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18291	1304089498.413429	-18.593407 7.153846 1.169888 61.351648 42.539941 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.411163 11.731928 2.788863 16.574825 2.597647
18292	1304089498.423492	-18.593407 7.153846 1.169888 61.351648 42.53145 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18293	1304089498.433554	-18.593407 7.153846 1.169888 61.351648 42.511639 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.574825 2.597647
18294	1304089498.443621	-18.593407 7.153846 1.169888 61.351648 42.480507 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.314929 16.574825 2.597647
18295	1304089498.453684	-18.593407 7.241758 1.081976 61.351648 42.453621 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.314929 16.574825 2.597647
18296	1304089498.463750	-18.593407 7.153846 1.169888 61.351648 42.425319 0.000204 -0.000082 14.999986 30.298021 7.615714 1.653898 2.023566 11.731928 2.788863 16.18572 2.597647
18297	1304089498.473812	-18.593407 7.153846 1.169888 61.351648 42.416828 0.000204 -0.000082 14.999986 30.298021 7.615714 2.077627 2.023566 11.731928 2.788863 16.574825 2.597647
