7336	1304090707.902973	-27.571429 9.758242 25.819104 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7337	1304090707.913165	-27.571429 9.846154 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7338	1304090707.923292	-27.571429 9.846154 25.64328 50.208791 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7339	1304090707.933299	-27.571429 9.846154 25.819104 50.208791 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7340	1304090707.943365	-27.571429 9.846154 25.64328 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.513068 3.059915 7.269091 4.722629 3.161707
7341	1304090707.953438	-27.571429 9.846154 25.819104 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7342	1304090707.963486	-27.571429 9.846154 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7343	1304090707.973551	-27.571429 9.846154 25.819104 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7344	1304090707.983625	-27.571429 9.758242 25.819104 50.208791 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7345	1304090707.993700	-27.571429 9.758242 25.64328 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7346	1304090708.003757	-27.571429 9.846154 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7347	1304090708.013819	-27.571429 9.846154 25.819104 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 2.632564 7.269091 4.722629 3.161707
7348	1304090708.023884	-27.571429 9.758242 25.819104 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 2.632564 7.269091 4.722629 3.161707
7349	1304090708.033946	-27.571429 9.846154 25.819104 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7350	1304090708.044010	-27.571429 9.846154 25.819104 50.208791 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7351	1304090708.054086	-27.571429 9.758242 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7352	1304090708.064198	-27.571429 9.846154 25.819104 50.208791 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7353	1304090708.074257	-27.571429 9.846154 25.819104 50.208791 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7354	1304090708.084314	-27.659341 9.846154 25.64328 50.208791 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7355	1304090708.094397	-27.571429 9.846154 25.819104 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7356	1304090708.104436	-27.571429 9.758242 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7357	1304090708.114527	-27.571429 9.758242 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7358	1304090708.124575	-27.571429 9.758242 25.907016 50.208791 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7359	1304090708.134661	-27.571429 9.758242 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 5.121036 3.161707
7360	1304090708.144722	-27.571429 9.758242 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7361	1304090708.154784	-27.571429 9.758242 25.555368 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7362	1304090708.164844	-27.571429 9.758242 25.907016 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
7363	1304090708.174906	-27.571429 9.758242 25.819104 50.296703 38.09515 0.005314 16.017947 11.25 9.00985 2.496667 15.152343 11.911474 3.059915 7.269091 4.722629 3.161707
7364	1304090708.184965	-27.659341 9.846154 25.819104 50.296703 38.09515 0.005314 16.017947 11.375 9.00985 2.496667 14.315523 11.911474 3.059915 7.269091 4.722629 3.161707
7365	1304090708.195025	-27.571429 9.846154 25.819104 50.296703 38.09515 0.005314 16.017947 11.375 9.00985 2.496667 14.733933 11.911474 3.059915 7.269091 4.722629 3.161707
