15998	1303916044.897467	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
15999	1303916044.907527	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16000	1303916044.917567	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16001	1303916044.927616	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16002	1303916044.937674	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16003	1303916044.947712	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16004	1303916044.957771	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16005	1303916044.967834	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16006	1303916044.977896	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16007	1303916044.987956	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16008	1303916044.998005	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16009	1303916045.008066	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16010	1303916045.018128	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16011	1303916045.028190	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16012	1303916045.038256	-3.49763 -3.923896 -4.009773 -0.000446 -1.001239 0.000215
16013	1303916045.048407	-3.49763 -3.924409 -4.009773 -0.000446 -1.001239 0.000215
16014	1303916045.058467	-3.49763 -3.926971 -4.009773 -0.000446 -1.001239 0.000215
16015	1303916045.068532	-3.49763 -3.934146 -4.009773 -0.000446 -1.001239 0.000215
16016	1303916045.078592	-3.49763 -3.946446 -4.009773 -0.000446 -1.001239 0.000215
16017	1303916045.088654	-3.49763 -3.96592 -4.009773 -0.000446 -1.001239 0.000215
16018	1303916045.098695	-3.49763 -3.992057 -4.009773 -0.000446 -1.001239 0.000215
16019	1303916045.108761	-3.49763 -4.018706 -4.009773 -0.000446 -1.001239 0.000215
16020	1303916045.118820	-3.49763 -4.040742 -4.009773 -0.000446 -1.001239 0.000215
16021	1303916045.128881	-3.49763 -4.060217 -4.009773 -0.000446 -1.001239 0.000215
16022	1303916045.138942	-3.49763 -4.079691 -4.009773 -0.000446 -1.001239 0.000215
16023	1303916045.148994	-3.49763 -4.099165 -4.009773 -0.000446 -1.001239 0.000215
16024	1303916045.159063	-3.49763 -4.114027 -4.009773 -0.000446 -1.001239 0.000215
16025	1303916045.169122	-3.49763 -4.120689 -4.009773 -0.000446 -1.001239 0.000215
16026	1303916045.179187	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16027	1303916045.189245	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16028	1303916045.199309	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16029	1303916045.209369	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16030	1303916045.219428	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16031	1303916045.229503	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16032	1303916045.239565	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16033	1303916045.249636	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16034	1303916045.259700	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16035	1303916045.269761	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16036	1303916045.279822	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16037	1303916045.289882	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16038	1303916045.299948	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16039	1303916045.309982	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16040	1303916045.320042	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16041	1303916045.330103	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16042	1303916045.340169	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16043	1303916045.350232	-3.49763 -4.121202 -4.009773 -0.000446 -1.001239 0.000215
16044	1303916045.360327	-3.49763 -4.121714 -4.009773 -0.000446 -1.001239 0.000215
16045	1303916045.370389	-3.49763 -4.126327 -4.009773 -0.000446 -1.001239 0.000215
16046	1303916045.380439	-3.49763 -4.129914 -4.009773 -0.000446 -1.001239 0.000215
16047	1303916045.390498	-3.49763 -4.131964 -4.009773 -0.000446 -1.001239 0.000215
16048	1303916045.400558	-3.49763 -4.134014 -4.009773 -0.000446 -1.001239 0.000215
