18264	1304089498.029919	-31.43956 8.175824 22.566357 53.461538 27.852746 0.963964 26.956564 12.25 9.662166 3.33 16.407573 11.114661 2.632564 5.905455 5.121036 0.722683
18265	1304089498.040007	-31.351648 8.175824 22.478445 53.461538 27.779161 0.963964 26.956564 12.25 9.662166 3.746667 16.407573 11.114661 2.632564 5.905455 5.121036 0.722683
18266	1304089498.050140	-31.351648 8.175824 22.566357 53.461538 27.742369 0.963964 26.956564 12.25 9.662166 3.746667 16.407573 11.114661 2.632564 5.905455 5.121036 0.722683
18267	1304089498.060177	-31.43956 8.175824 22.566357 53.461538 27.739539 0.963964 26.956564 12.25 9.662166 3.33 16.407573 11.114661 2.632564 5.905455 5.121036 0.722683
18268	1304089498.070270	-31.351648 8.263736 22.566357 53.461538 27.739539 0.963964 26.956564 12.25 9.662166 3.746667 16.407573 11.114661 2.632564 5.905455 5.121036 0.722683
18269	1304089498.080311	-31.351648 8.263736 22.478445 53.461538 27.739539 0.963964 26.956564 12.25 9.662166 3.33 16.407573 11.114661 2.632564 5.905455 5.121036 0.722683
18270	1304089498.090372	-31.43956 8.263736 22.390533 53.461538 27.739539 0.963964 26.956564 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18271	1304089498.100445	-31.351648 8.263736 22.742181 53.461538 27.739539 0.963964 26.956564 12.25 9.662166 3.746667 16.407573 11.114661 2.632564 5.905455 5.121036 0.722683
18272	1304089498.110520	-31.43956 8.43956 22.302621 53.461538 27.739539 0.963964 26.956564 12.25 9.662166 3.33 16.407573 11.114661 2.632564 5.905455 5.121036 0.722683
18273	1304089498.120581	-31.351648 8.43956 22.214708 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18274	1304089498.130650	-31.351648 8.527473 21.950972 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.746667 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18275	1304089498.140730	-31.43956 8.615385 21.86306 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18276	1304089498.150830	-31.351648 8.703297 22.390533 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18277	1304089498.160871	-31.351648 8.791209 22.038884 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 15.989163 11.513068 2.632564 5.905455 5.121036 0.722683
18278	1304089498.170933	-31.351648 8.791209 21.950972 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.746667 15.989163 11.513068 2.632564 5.905455 5.121036 0.722683
18279	1304089498.181049	-31.351648 8.967033 21.599324 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18280	1304089498.191095	-31.43956 9.054945 21.775148 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18281	1304089498.201189	-31.351648 9.054945 22.038884 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18282	1304089498.211269	-31.351648 9.142857 21.335588 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18283	1304089498.221332	-31.351648 9.230769 21.511412 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18284	1304089498.231395	-31.351648 9.230769 21.159763 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 15.989163 11.513068 2.632564 5.905455 5.121036 0.722683
18285	1304089498.241457	-31.351648 9.406593 21.4235 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 15.989163 11.513068 2.632564 5.905455 5.121036 0.722683
18286	1304089498.251544	-31.351648 9.406593 21.335588 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18287	1304089498.261629	-31.43956 9.582418 21.159763 53.549451 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18288	1304089498.271671	-31.351648 9.582418 21.4235 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 15.989163 11.513068 2.632564 5.905455 5.121036 0.722683
18289	1304089498.281736	-31.43956 9.67033 20.808115 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18290	1304089498.291796	-31.351648 9.758242 20.632291 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18291	1304089498.301867	-31.351648 9.758242 20.983939 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18292	1304089498.311927	-31.351648 9.846154 20.896027 53.461538 27.739539 0.963964 26.955542 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18293	1304089498.321990	-31.351648 9.846154 20.896027 53.461538 27.739539 0.963964 26.956564 12.25 9.662166 3.33 16.407573 11.513068 2.632564 5.905455 5.121036 0.722683
18294	1304089498.332051	-31.351648 9.846154 20.896027 53.461538 27.739539 0.963964 26.956564 12.25 9.662166 3.33 15.989163 11.513068 2.632564 5.905455 5.121036 0.722683
