7327	1304090707.881275	-34.241758 6.450549 3.103954 46.67033 70.952071 0.000204 0.00605 17.249986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7328	1304090707.891400	-34.241758 6.362637 2.92813 46.758242 71.005844 0.000204 0.00605 17.249986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7329	1304090707.901460	-34.241758 6.274725 3.016042 46.846154 71.069523 0.000204 0.00605 17.249986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7330	1304090707.911519	-34.241758 6.274725 3.103954 46.934066 71.097825 0.000204 0.00605 17.249986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7331	1304090707.921580	-34.241758 6.274725 3.103954 46.934066 71.100655 0.000204 0.00605 17.249986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7332	1304090707.931639	-34.241758 6.274725 3.103954 47.021978 71.100655 0.000204 0.00605 17.249986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7333	1304090707.941717	-34.241758 6.274725 3.103954 47.10989 71.100655 0.000204 0.00605 17.249986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7334	1304090707.951760	-34.241758 6.274725 3.103954 47.197802 71.100655 0.000204 0.00605 17.249986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7335	1304090707.961846	-34.241758 6.186813 3.103954 47.197802 71.09924 0.000204 0.00605 17.399986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7336	1304090707.971905	-34.241758 6.186813 3.103954 47.285714 71.09924 0.000204 0.00605 17.399986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7337	1304090707.981982	-34.241758 6.274725 3.103954 47.285714 71.09924 0.000204 0.00605 17.399986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7338	1304090707.992049	-34.241758 6.186813 3.103954 47.373626 71.09924 0.000204 0.00605 17.399986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
7339	1304090708.002109	-34.241758 6.098901 3.279778 47.373626 71.089334 0.000204 0.00605 17.399986 11.699943 6.663333 2.925085 2.411163 14.543173 8.476066 7.236304 0.832941
