6605	1304089050.756624	-5.67033 9.967033 5.389668 72.78022 51.660181 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6606	1304089050.766702	-5.67033 9.967033 5.47758 72.78022 51.634709 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6607	1304089050.776755	-5.67033 9.967033 5.47758 72.78022 51.609238 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6608	1304089050.786816	-5.67033 9.967033 5.47758 72.78022 51.582351 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6609	1304089050.796876	-5.67033 10.054945 5.389668 72.78022 51.554049 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6610	1304089050.806935	-5.67033 9.967033 5.47758 72.78022 51.508766 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6611	1304089050.816996	-5.67033 10.054945 5.389668 72.78022 51.446503 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6612	1304089050.827057	-5.67033 9.967033 5.47758 72.78022 51.387069 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6613	1304089050.837134	-5.67033 9.967033 5.47758 72.78022 51.31773 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6614	1304089050.847179	-5.67033 10.054945 5.389668 72.78022 51.24839 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6615	1304089050.857237	-5.67033 9.967033 5.829229 72.78022 51.180466 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6616	1304089050.867299	-5.67033 9.967033 5.47758 72.78022 51.123863 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6617	1304089050.877364	-5.67033 9.967033 5.47758 72.78022 51.072919 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6618	1304089050.887436	-5.67033 9.967033 5.47758 72.78022 51.027637 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6619	1304089050.897498	-5.67033 10.054945 5.829229 72.78022 50.996505 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6620	1304089050.907561	-5.67033 10.054945 5.389668 72.78022 50.979524 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
6621	1304089050.917621	-5.67033 9.967033 5.829229 72.78022 50.966788 0.484639 0.566114 17.099986 15.430865 7.139524 4.196271 2.79876 13.73996 5.632464 10.738249 7.303529
